ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
564,PROCYONIDAE,Procyon,Procyon lotor,sedentary,0,0,1,0,0,0,1,0,0
565,CRICETIDAE,Prometheomys,Prometheomys schaposchnikowi,sedentary,0,0,1,0,0,1,0,1,0
566,CERVIDAE,Przewalskium,Przewalskium albirostris,sedentary,0,0,1,0,0,1,0,1,0
567,MURIDAE,Psammomys,Psammomys obesus,sedentary,0,0,1,0,0,0,0,1,0
568,BOVIDAE,Pseudois,Pseudois nayaur,sedentary,0,0,1,0,0,1,0,1,0
569,BOVIDAE,Pseudois,Pseudois schaeferi,sedentary,0,0,1,0,0,1,0,1,0
570,SCIURIDAE,Pteromys,Pteromys volans,sedentary,0,0,1,0,0,0,0,1,0
571,FELIDAE,Puma,Puma concolor,sedentary,0,0,1,0,0,1,1,0,0
572,FELIDAE,Puma,Puma yagouaroundi,sedentary,0,0,1,0,0,1,1,0,0
573,DIPODIDAE,Pygeretmus,Pygeretmus platyurus,sedentary,0,0,1,0,0,0,0,1,0
574,DIPODIDAE,Pygeretmus,Pygeretmus pumilio,sedentary,0,0,1,0,0,0,0,1,0
575,DIPODIDAE,Pygeretmus,Pygeretmus zhitkovi,sedentary,0,0,1,0,0,0,0,1,0
576,CERVIDAE,Rangifer,Rangifer tarandus,colonizer,1,0,0,0,0,0,1,1,1
577,MURIDAE,Rattus,Rattus nitidus,sedentary,0,0,1,0,0,0,0,1,0
578,MURIDAE,Rattus,Rattus norvegicus,sedentary,0,0,1,0,0,0,0,1,0
579,MURIDAE,Rattus,Rattus pyctoris,sedentary,0,0,1,0,0,0,0,1,0
580,MURIDAE,Rattus,Rattus rattus,sedentary,0,0,1,0,0,0,0,1,0
581,MURIDAE,Rattus,Rattus tanezumi,sedentary,0,0,1,0,0,0,0,1,0
582,CRICETIDAE,Reithrodontomys,Reithrodontomys bakeri,sedentary,0,0,1,0,0,1,1,0,0
583,CRICETIDAE,Reithrodontomys,Reithrodontomys burti,sedentary,0,0,1,0,0,1,1,0,0
584,CRICETIDAE,Reithrodontomys,Reithrodontomys chrysopsis,sedentary,0,0,1,0,0,1,1,0,0
585,CRICETIDAE,Reithrodontomys,Reithrodontomys fulvescens,sedentary,0,0,1,0,0,1,1,0,0
586,CRICETIDAE,Reithrodontomys,Reithrodontomys hirsutus,sedentary,0,0,1,0,0,1,1,0,0
587,CRICETIDAE,Reithrodontomys,Reithrodontomys humulis,sedentary,0,0,1,0,0,1,1,0,0
588,CRICETIDAE,Reithrodontomys,Reithrodontomys megalotis,sedentary,0,0,1,0,0,1,1,0,0
589,CRICETIDAE,Reithrodontomys,Reithrodontomys mexicanus,sedentary,0,0,1,0,0,1,1,0,0
590,CRICETIDAE,Reithrodontomys,Reithrodontomys microdon,sedentary,0,0,1,0,0,1,1,0,0
591,CRICETIDAE,Reithrodontomys,Reithrodontomys montanus,sedentary,0,0,1,0,0,1,1,0,0
592,CRICETIDAE,Reithrodontomys,Reithrodontomys raviventris,sedentary,0,0,1,0,0,1,1,0,0
593,CRICETIDAE,Reithrodontomys,Reithrodontomys sumichrasti,sedentary,0,0,1,0,0,1,1,0,0
594,CRICETIDAE,Reithrodontomys,Reithrodontomys zacatecae,sedentary,0,0,1,0,0,1,1,0,0
595,CRICETIDAE,Rheomys,Rheomys mexicanus,sedentary,0,0,1,0,0,1,1,0,0
596,SPALACIDAE,Rhizomys,Rhizomys pruinosus,sedentary,0,0,1,0,0,0,0,1,0
597,SPALACIDAE,Rhizomys,Rhizomys sinensis,sedentary,0,0,1,0,0,0,0,1,0
598,MURIDAE,Rhombomys,Rhombomys opimus,sedentary,0,0,1,0,0,0,0,1,0
599,LEPORIDAE,Romerolagus,Romerolagus diazi,sedentary,0,0,1,0,0,1,1,0,0
600,BOVIDAE,Rupicapra,Rupicapra pyrenaica,sedentary,0,0,1,0,0,1,0,1,0
601,BOVIDAE,Rupicapra,Rupicapra rupicapra,sedentary,0,0,1,0,0,1,0,1,0
602,CERVIDAE,Rusa,Rusa unicolor,sedentary,0,0,1,0,0,1,0,1,0
603,BOVIDAE,Saiga,Saiga tatarica,sedentary,0,0,1,0,0,1,0,1,0
604,DIPODIDAE,Salpingotulus,Salpingotulus michaelis,sedentary,0,0,1,0,0,0,0,1,0
605,DIPODIDAE,Salpingotus,Salpingotus crassicauda,sedentary,0,0,1,0,0,0,0,1,0
606,DIPODIDAE,Salpingotus,Salpingotus heptneri,sedentary,0,0,1,0,0,0,0,1,0
607,DIPODIDAE,Salpingotus,Salpingotus kozlovi,sedentary,0,0,1,0,0,0,0,1,0
608,DIPODIDAE,Salpingotus,Salpingotus pallidus,sedentary,0,0,1,0,0,0,0,1,0
609,TALPIDAE,Scalopus,Scalopus aquaticus,colonizer,0,1,0,0,0,0,1,0,0
610,TALPIDAE,Scapanulus,Scapanulus oweni,colonizer,0,1,0,0,0,0,0,1,0
611,TALPIDAE,Scapanus,Scapanus latimanus,colonizer,0,1,0,0,0,0,1,0,0
